Box no.,Total APs
c4:6e:1f:49:17:98,1,"05/10/2018,"
cc:06:77:73:64:d0,1,"05/10/2018,"
c4:6e:1f:48:96:b2,1,"05/10/2018,"
84:16:f9:26:31:2c,1,"05/10/2018,"
c4:ff:1f:55:8b:10,1,"05/10/2018,"
48:fd:8e:b8:7e:88,1,"05/10/2018,"
88:d2:74:86:c8:ef,1,"05/10/2018,"
9c:6f:52:35:0e:90,1,"05/10/2018,"
8c:eb:c6:93:2a:1b,1,"05/10/2018,"
30:b5:c2:84:52:c4,1,"05/10/2018,"
cc:06:77:e2:56:c0,1,"05/10/2018,"
cc:06:77:75:9f:50,1,"05/10/2018,"
e0:8e:3c:2f:8c:5d,1,"05/10/2018,"
88:d2:74:86:b0:3a,1,"05/10/2018,"
7c:8b:ca:52:db:6c,1,"05/10/2018,"
48:fd:8e:ce:3b:00,1,"05/10/2018,"
cc:06:77:e2:78:88,1,"05/10/2018,"
00:1a:ef:46:cd:2c,1,"05/10/2018,"
78:8a:20:64:0c:45,1,"05/10/2018,"
""
Box no.,Total APs
36,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
37,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
38,28
MAC,Persistence,Dates Seen
04:95:e6:b0:8e:e1,3,"05/08/2018, 05/10/2018,"
00:1f:fb:bb:5c:6b,3,"05/08/2018, 05/10/2018,"
00:13:33:ce:fc:c4,4,"05/08/2018, 05/10/2018,"
d0:13:fd:4f:83:ba,1,"05/08/2018,"
08:10:73:63:19:69,3,"05/08/2018, 05/10/2018,"
e0:8e:3c:04:a4:4f,3,"05/08/2018, 05/10/2018,"
cc:06:77:b4:16:78,3,"05/08/2018, 05/10/2018,"
00:1f:fb:c5:38:43,1,"05/08/2018,"
34:ba:9a:55:af:7b,1,"05/08/2018,"
5c:c3:07:41:b2:c7,3,"05/08/2018, 05/10/2018,"
8c:68:c8:c0:1d:9e,1,"05/08/2018,"
08:10:73:47:13:90,3,"05/08/2018, 05/10/2018,"
c4:ff:1f:57:85:54,1,"05/08/2018,"
7c:8b:ca:52:db:6c,2,"05/08/2018, 05/10/2018,"
cc:06:77:72:dc:a8,1,"05/08/2018,"
48:fd:8e:b8:7e:ac,2,"05/08/2018, 05/10/2018,"
88:d2:74:86:c8:ef,2,"05/08/2018, 05/10/2018,"
c4:ff:1f:57:da:4c,2,"05/08/2018, 05/10/2018,"
98:e7:f5:60:02:90,4,"05/08/2018, 05/10/2018,"
ec:8a:4c:94:c4:d1,1,"05/10/2018,"
9c:6f:52:35:00:92,2,"05/10/2018,"
e0:8e:3c:2f:26:41,1,"05/10/2018,"
ee:f3:42:10:12:f7,3,"05/10/2018,"
28:ff:3e:3d:e8:59,2,"05/10/2018,"
48:fd:8e:b9:91:dc,2,"05/10/2018,"
8c:4c:ad:01:e0:1a,1,"05/10/2018,"
ea:85:50:8d:21:61,1,"05/10/2018,"
34:ef:44:4e:63:c9,1,"05/10/2018,"
""
Box no.,Total APs
39,7
MAC,Persistence,Dates Seen
28:ff:3e:3d:e8:59,1,"05/10/2018,"
