First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 19:57:51,f0:8c:fb:81:57:00,PLDTHOMEFIBR_815700,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-81,9,14.70569161,121.09846818
2018-05-15 19:57:35,e0:8e:3c:2e:40:55,M0LDE,[WPA2-PSK-CCMP][ESS],-86,1,14.70514535,121.09838416
2018-05-15 19:58:10,bc:c0:0f:ca:08:24,PLDTHOMEFIBR_LEANETCAFE5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-54,36,14.70593645,121.09779062
2018-05-15 19:58:28,00:13:33:ce:fc:c4,PLDTHOMEDSLnowifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-59,11,14.70604033,121.09776192
2018-05-15 19:57:51,28:ff:3e:3d:e2:c8,bayanDSLWIFI_E2C8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-64,9,14.70569161,121.09846818
2018-05-15 19:57:51,9c:6f:52:35:1c:66,Xlven7BweP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-73,1,14.70569161,121.09846818
2018-05-15 20:01:20,bc:c0:0f:ca:08:20,PLDTHOMEFIBR_LEANETCAFE,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-41,11,14.70600359,121.09775561
2018-05-15 19:57:51,74:4a:a4:6b:32:43,NOWIFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-87,6,14.70569161,121.09846818
2018-05-15 19:57:51,e0:8e:3c:2e:38:71,Manuel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-83,1,14.70569161,121.09846818
2018-05-15 19:58:10,04:95:e6:b0:8e:e5,,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-71,161,14.70593645,121.09779062
2018-05-15 19:57:51,88:d2:74:86:d3:ea,bayanDSLWIFI_D3EA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-75,9,14.70569161,121.09846818
2018-05-15 19:58:10,88:d2:74:86:ac:54,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-78,7,14.70593645,121.09779062
2018-05-15 19:57:51,94:0e:6b:d7:b6:57,B310_7B657,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-65,1,14.70569161,121.09846818
2018-05-15 19:57:51,d4:6e:0e:6c:f5:2f,VirusHaus_TP_24,[WPA2-PSK-CCMP][WPS][ESS],-86,1,14.70569161,121.09846818
2018-05-15 19:58:28,e0:8e:3c:1b:42:cb,malounavarro,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-74,10,14.70604033,121.09776192
2018-05-15 19:57:51,d0:04:92:01:91:e0,PLDTHOMEFIBRg2rs,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-70,3,14.70569161,121.09846818
2018-05-15 20:01:03,e0:8e:3c:22:60:b7,bayanDSLWIFI_60B7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-52,11,14.70643024,121.09816522
2018-05-15 19:57:51,cc:06:77:e2:7b:40,PLDTHOMEFIBR27b40,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-69,7,14.70569161,121.09846818
2018-05-15 20:01:03,cc:06:77:e2:7b:44,PLDTHOMEFIBR5G27b40,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-76,40,14.70643024,121.09816522
2018-05-15 19:58:10,d0:04:92:01:bf:90,Virushaus_P_,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,6,14.70593645,121.09779062
2018-05-15 19:58:10,c4:ff:1f:56:d9:48,HUAWEI-aYxx,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-87,1,14.70593645,121.09779062
2018-05-15 19:58:28,e0:8e:3c:2f:26:41,bayanDSLWIFI_2641,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-67,1,14.70604033,121.09776192
2018-05-15 19:58:10,70:9f:2d:a0:b3:d4,tyronaaron,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-85,1,14.70593645,121.09779062
2018-05-15 19:58:28,00:26:75:b7:89:7c,bayanDSLWiFi_897C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-62,1,14.70604033,121.09776192
2018-05-15 20:00:27,7c:8b:ca:52:db:6c,WAB_HotSpot_Wifi2,[WPS][ESS],-45,4,14.70698013,121.09751988
