Common,1
BSSID,SSID,Wigle-Encryption,Site-Encryption,Last Update
24:a4:3c:78:c6:4c,Annex2,[WPA2-PSK-CCMP][ESS],unknown,"2016-05-05, 06:00:00 PM"
 
Wigle Unique,274
BSSID,SSID,Wigle-Encryption,Wigle-Channel
6c:3b:6b:d7:3d:94,MikroTik-D73D94,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],1
88:d2:74:86:b7:bc,bayanDSLWIFI_B7BC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
1c:74:0d:15:ac:20,PLDTHOMEDSLpoof,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
70:9f:2d:a0:5c:18,bayanDSLWiFi_5C18,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
18:de:d7:34:13:80,HUAWEI-8vpD,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10
00:26:75:ce:9e:c8,CDSMVL2006,[WPA-PSK-CCMP+TKIP][ESS],3
9c:6f:52:35:01:38,DAXEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
9c:6f:52:34:fd:bc,bayanDSLWIFI_FDBC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
90:61:0c:2c:81:0b,globe,[WPA2-PSK-CCMP][WPS][ESS],11
94:46:96:17:05:ab,BALADADFAMILY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
90:61:0c:3a:85:d2,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
18:de:d7:34:92:ec,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
94:46:96:14:c1:1a,PLDTHOMEDSLZMZD0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],7
4c:81:20:92:e1:02,GaliciaFamily,[WPA2-PSK-CCMP][WPS][ESS],2
