SSID,Net ID,TriLat,TriLong,Encryption,Channel,Type,Trans ID,First Time,Last Time,Last Updt
VIPinoy,C4:01:7C:54:5F:29,14.70457172,121.10164642,wpa,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
PLDTMyDSL,CC:5D:4E:F1:AB:58,14.69952297,121.09986115,wpa,1,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
PLDTMyDSL,B0:B2:DC:F9:58:8C,14.69800568,121.09906769,wpa2,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
PLDTMyDSL,B0:B2:DC:FA:DE:00,14.69705677,121.09896088,wpa2,11,infra,20130507-00000,"2013-05-07, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
BEI_SANTOS,C8:D3:A3:48:33:70,14.69726086,121.09831238,wpa2,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
V23XCE_01,AA:A6:68:21:A6:AB,14.70133972,121.09580231,wpa2,13,infra,20150216-00000,"2001-01-01, 04:00:00 PM","2015-02-16, 02:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTMyDSL,CC:5D:4E:EF:B4:C8,14.69748116,121.09689331,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
Aztech5068_355C9,E0:8E:3C:23:55:C9,14.70457172,121.10164642,wpa,10,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,C4:01:7C:94:5F:28,14.70457172,121.10164642,wpa,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Libre Wifi,C8:D7:19:17:76:7C,14.69962883,121.09954071,wpa2,4,infra,20130424-00000,"2013-04-25, 01:00:00 AM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
None,B4:5D:50:38:68:B0,14.70270157,121.09915924,unknown,36,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@AyalaMalls_GoWiFi,B4:5D:50:38:6D:77,14.70270157,121.09915924,unknown,255,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
pasabay2014,D0:7A:B5:72:21:F4,14.7070837,121.09388733,wpa2,11,infra,20160227-00000,"2001-01-01, 04:00:00 PM","2016-02-27, 03:00:00 PM","2016-02-27, 03:00:00 PM"
None,B4:5D:50:46:C4:23,14.69896126,121.09418488,unknown,11,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Cacko,00:02:6F:9D:3A:C0,14.69978046,121.10218811,wep,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
STKD,E0:8E:3C:23:29:75,14.70083141,121.09667206,wpa,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
cain_network,B4:B3:62:5E:88:D7,14.69804764,121.09733582,wpa,1,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
