Total APs,1157
PLDT,293
BSSID,SSID,Encryption,Channel
b0:b2:dc:75:35:74,PLDTMyDSL,WPA2/WPA,11
cc:06:77:5c:8b:50,PLDTHOMEFIBRc8b50,WPA2/WPA,5
00:13:33:c0:c4:39,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:2e:f3:27,PLDTHOMEDSL62247,WPA2/WPA,1
cc:06:77:b4:38:f8,PLDTHOMEFIBRRAMOS2.4G,WPA2/WPA,1
cc:06:77:e2:55:20,PLDTHOMEFIBR25520,WPA2/WPA,6
d4:6e:0e:d4:6a:5c,PLDTHOMEDSL57753_EXT,WPA2/WPA,7
94:46:96:15:54:27,PLDTHOMEDSL6S6N0,WPA2/WPA,5
90:61:0c:2c:e1:99,PLDTHOMEDSL57753,WPA2/WPA,7
00:0e:f4:db:e1:71,PLDTHOMEDSL,WPA2/WPA,11
bc:96:80:d9:8a:be,PLDTMyDSL,WPA2/WPA,11
00:13:33:fd:77:ff,PLDTHOMEDSLKING,WPA2/WPA,1
00:13:33:ed:26:f5,PLDTHOMEDSL,WPA2/WPA,2
94:46:96:16:f9:0d,PLDTHOMEDSLS7S70,WPA2/WPA,5
2c:dd:95:f4:be:96,PLDTHOMEDSL_WIFI,WPA2/WPA,6
90:61:0c:40:c1:c0,PLDTHOMEDSL49600,WPA2/WPA,8
00:13:33:e6:49:fb,PLDTHOMEDSL,WPA2/WPA,11
f4:9e:ef:d2:29:e8,PLDTHOMEDSL_:),WPA2/WPA,10
fc:8b:97:eb:5f:91,PLDTMyDSL,WPA2/WPA,11
90:61:0c:16:dc:12,PLDTMyDSL,WPA2/WPA,11
94:46:96:0e:57:76,PLDTHOMEDSL,WPA2/WPA,1
90:61:0c:25:da:cf,PLDTHOMEDSL56015,WPA2/WPA,1
00:13:33:e9:a3:17,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:35:50:3b,PLDTHOMEDSL20539,WPA2/WPA,1
00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,WPA2/WPA,2
ec:43:f6:bb:52:9b,PLDTMyDSLBiz1,WPA2/WPA,11
00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:2e:99:ff,PLDTHOMEDSL39423,WPA2/WPA,5
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,WPA2/WPA,1
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,WPA2/WPA,5
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,WPA2/WPA,11
00:13:33:f6:c3:47,PLDTHOMEDSLkidlat,WPA2/WPA,11
fc:8b:97:35:83:6a,PLDTMyDSL,WPA2/WPA,11
90:61:0c:2e:b3:11,PLDTHOMEDSLchurchill,WPA2/WPA,1
00:13:33:d3:4a:ff,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:1f:66:ba,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:1f:66:5a,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e7:96:ad,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:c6:69:4c,PLDTHOMEDSL,WPA2/WPA,11
94:fb:b2:59:aa:60,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,WPA2/WPA,11
4c:81:20:f3:29:bb,PLDTHOMEDSL329BB,WPA2/WPA,1
a4:2b:b0:f8:9e:87,PLDTHOMEDSL_AF5Y_EXT,WPA2/WPA,11
00:13:33:ce:c7:b8,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e1:c7:e9,PLDTHOMEDSL,WPA2/WPA,11
