Common in ALL,133
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
b6:4e:26:4c:0f:dd,TFMGT Office_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2,-84
ba:4e:26:4c:0f:dd,,[WPA2-PSK-CCMP][ESS],2,-85
b6:4e:26:4c:0f:de,TFMGT Office_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],48,-86
b0:4e:26:4c:0f:de,TFMGT Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],48,-86
ba:4e:26:4c:12:54,,[WPA2-PSK-CCMP][ESS],48,-91
6c:27:79:b5:5b:9a,Hi po,[WPA2-PSK-CCMP][WPS][ESS][P2P],11,-86
cc:06:77:61:f6:08,PLCPD,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],3,-87
f0:98:38:72:db:98,ZGMKTGCORP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],4,-86
cc:06:77:e1:1f:94,PLDTHOMEFIBR5G11f90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],40,-84
c0:7e:40:73:20:c4,PT&T Fiber,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],11,-89
51502_30232_210478174,Globe,HSPA;ph,0,-86
cc:06:77:63:37:94,Estivlings2.0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-83
51502_30232_210454612,Globe,HSPA;ph,0,-79
3e:47:11:dc:38:c9,Jollibeast,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1,-87
51502_30232_210454610,Globe,HSPA;ph,0,-67
51502_30232_210454611,Globe,HSPA;ph,0,-87
00:13:33:fe:e0:9a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-84
9c:6f:52:35:01:16,bayanDSLWIFI_0116,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10,-75
32:14:4a:e2:0f:43,MMDA_MESH160,[IBSS],60,-87
32:14:4a:e2:0f:46,MMDA_MESH60,[IBSS],5580,-87
 
"1,6,11 Unique",50
BSSID,SSID,RPi-Encryption,RPi-Channel,RPi Avg RSSI
ea:43:f6:49:02:10,PLDTMYDSLBiz,WPA,11,0
e6:43:f6:49:02:10,RocketJump4G,WPA,11,0
3c:46:d8:25:05:bb,TP-LINK_M7350_2505BB,WPA2/WPA,1,0
