Common,168
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
2a:17:23:00:04:8f,EVOHOTSPOT 4,[ESS],OPN,1,1,-37,-69
88:d2:74:86:ac:73,bayanDSLWIFI_AC73,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-80,-89
0a:17:23:00:04:3f,EVOHOTSPOT 10,[ESS],OPN,6,6,-68,-85
5a:8b:f3:70:7b:33,PLDTMyDSLBiz3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-75,-81
5a:8b:f3:70:7b:30,PLDTMyDSLBiz3MobileWiFi-62EA,[WPA-PSK-TKIP][WPS][ESS],WPA,11,11,-73,-82
1a:17:23:00:04:39,EVOHOTSPOT 15,[ESS],OPN,11,11,-74,-87
2a:17:23:00:04:3f,EVOHOTSPOT 12,[ESS],OPN,6,6,-74,-85
0a:17:23:00:01:4d,EVOHOTSPOT 34,[ESS],OPN,1,1,-79,-79
2a:17:23:00:01:4d,EVOHOTSPOT 36,[ESS],OPN,1,1,-81,-78
90:61:0c:16:a8:02,PLDTMyDSL,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,11,11,-64,-84
e0:8e:3c:1a:d7:1f,Francisco,[WPA2-PSK-CCMP+TKIP][ESS],WPA2,1,1,-65,-79
 
WiGLE Unique,116
BSSID,SSID,Wigle-Encryption,Wigle-Channel,Wigle Avg RSSI
5c:f2:86:22:08:72,WIFIKO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],8,-87
5c:6a:80:a3:70:6f,OGM2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-86
51502_30232_210438649,Globe,HSPA;ph,0,-89
