Common,175
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
e0:8e:3c:1a:e6:07,bayanDSLWIFI_E607,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,10,10,-73,-78
1a:17:23:00:04:77,EVOHOTSPOT 7,[ESS],OPN,6,6,-61,-62
0a:17:23:00:04:77,EVOHOTSPOT 6,[ESS],OPN,6,6,-62,-66
28:ff:3e:3d:e8:19,bayanDSLWIFI_E819,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,10,-75,-72
00:13:33:fa:e4:77,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-83,-77
00:13:33:d4:a9:4f,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-80
14:60:80:99:51:7c,mendoza,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,13,3,-88,-79
9c:6f:52:35:1e:06,bayanDSLWIFI_1E06,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-72,-76
74:cc:39:bc:bc:a2,EDONG-EVOLUTION,[ESS],OPN,10,10,-89,-86
00:13:33:fd:b7:fb,PLDTHOMEDSLLUCERO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,-87
08:17:23:00:04:8f,EVOHOTSPOT 1,[ESS],OPN,1,1,-36,-64
1a:17:23:00:04:8f,EVOHOTSPOT 3,[ESS],OPN,1,1,-37,-62
2a:17:23:00:04:8f,EVOHOTSPOT 4,[ESS],OPN,1,1,-37,-62
88:d2:74:86:ac:73,bayanDSLWIFI_AC73,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-80,-89
5a:8b:f3:70:7b:33,PLDTMyDSLBiz3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-75,-72
5a:8b:f3:70:7b:30,PLDTMyDSLBiz3MobileWiFi-62EA,[WPA-PSK-TKIP][WPS][ESS],WPA,11,11,-73,-72
ee:1d:7f:97:9e:97,,[WPA2-PSK-CCMP][WPS][ESS],WPA2,13,13,-74,-76
1a:17:23:00:04:39,EVOHOTSPOT 15,[ESS],OPN,11,11,-74,-86
0a:17:23:00:01:4d,EVOHOTSPOT 34,[ESS],OPN,1,1,-79,-75
1a:17:23:00:01:3d,EVOHOTSPOT 23,[ESS],OPN,11,11,-82,-82
90:61:0c:16:a8:02,PLDTMyDSL,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,11,11,-64,-91
e0:8e:3c:1a:d7:1f,Francisco,[WPA2-PSK-CCMP+TKIP][ESS],WPA2,1,1,-65,-84
 
WiGLE Unique,109
BSSID,SSID,Wigle-Encryption,Wigle-Channel,Wigle Avg RSSI
08:23:b2:fc:09:18,Nogie,[WPA2-PSK-CCMP][ESS],11,-86
51502_30232_210438649,Globe,HSPA;ph,0,-89
88:3f:d3:05:e7:d0,HUAWEI-6443,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-88
e4:8d:8c:fb:3d:c2,CVL_Propagation test,[ESS],60,-89
54:b8:0a:36:61:6c,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],165,-87
88:3f:d3:06:29:38,HUAWEI-Bn7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],7,-85
51502_30232_210451840,Globe,HSPA;ph,0,-81
