GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-04-03 01:50:15.905787,2017-07-29 21:00:00,94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,WPA2/WPA,-54,11,Baudtec,Broadband,14.646255,121.059537,16,196,17.0479530654,17,46,"03/14/2018, 04/05/2018, 04/02/2018, 04/03/2018, 03/22/2018, "
2018-04-05 12:50:04,2017-06-09 13:00:00,74:cc:39:ca:35:38,PLDTHOMEFIBRa3538,WPA2/WPA,-74,6,Fiberhom,Fiber,14.646277,121.059578,16,196,17.0479530654,17,9,"03/22/2018, 04/03/2018, 04/05/2018, "
2018-04-05 12:50:14,2017-07-29 21:00:00,70:5a:9e:92:6f:f4,SKYbroadband6FF1,WPA2/WPA,-67,12,Technico,Broadband,14.646188,121.059922,16,196,17.0479530654,17,25,"04/05/2018, 04/03/2018, 03/14/2018, 04/05/2018, 03/22/2018, 04/02/2018, "
2018-04-03 02:06:01.767188,2017-07-29 21:00:00,f0:98:38:f9:14:28,Fiber200,WPA2/WPA,-48,8,HuaweiTe,Unidentified,14.645943,121.060365,17,178,18.4434504918,15,25,"04/03/2018, 03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, "
2018-04-03 02:06:05.336326,2017-07-29 21:00:00,cc:1a:fa:97:cf:b8,bayanDSL,WPA,-56,11,Zte,Broadband,14.646007,121.060258,17,178,18.4434504918,15,20,"03/22/2018, 04/03/2018, 04/05/2018, 04/02/2018, "
2018-04-03 01:50:35.037438,2017-07-29 21:00:00,00:13:33:e1:c9:15,PLDTHOMEDSL,WPA2/WPA,-59,11,Baudtec,Broadband,14.646148,121.060235,17,178,18.4434504918,15,22,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, "
2018-04-05 12:50:41,2017-07-29 21:00:00,ac:86:74:4a:09:53,xNonex,WPA2/WPA,-56,5,OpenMesh,Unidentified,14.645998,121.060417,17,178,18.4434504918,15,33,"04/03/2018, 04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
2018-04-05 12:50:41,2017-07-29 21:00:00,ac:86:74:4a:09:52,CloudTrax,OPN,-58,5,OpenMesh,Unidentified,14.645998,121.060417,17,178,18.4434504918,15,34,"04/03/2018, 04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
2018-04-05 12:50:28,2017-07-29 21:00:00,dc:09:4c:14:29:cf,Monmon,WPA2/WPA,-63,9,HuaweiTe,Unidentified,14.646057,121.060335,17,178,18.4434504918,15,25,"04/05/2018, 04/03/2018, 04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, "
2018-04-05 12:50:33,2017-07-29 21:00:00,e0:8e:3c:21:45:ff,bayanDSLWIFI_45FF,WPA2/WPA,-65,11,AztechEl,Broadband,14.64601,121.060417,17,178,18.4434504918,15,18,"04/03/2018, 04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
2018-04-05 12:50:48,2017-07-29 21:00:00,c0:56:27:90:c5:57,PDLAW,WPA2,-62,10,BelkinIn,Unidentified,14.645998,121.060417,17,178,18.4434504918,15,32,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 03/14/2018, 03/22/2018, "
2018-04-05 14:19:17,2017-06-09 13:00:00,00:13:33:c0:57:33,PLDTHOMEDSL,WPA2/WPA,-72,11,Baudtec,Broadband,14.646143,121.060037,17,178,18.4434504918,15,13,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, "
2018-04-05 14:19:15,2017-07-29 21:00:00,00:18:4d:95:5d:b0,MRS,WPA,-79,11,Netgear,Unidentified,14.646153,121.059992,17,178,18.4434504918,15,4,"03/14/2018, 04/03/2018, 04/05/2018, "
2018-04-02 00:47:39.789553,2018-02-16 10:00:00,00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,-68,11,Baudtec,Broadband,14.646197,121.060845,18,32,21.3500195414,11,3,"04/05/2018, 04/02/2018, "
2018-04-02 00:47:40.862766,2018-02-16 10:00:00,00:13:33:c6:d0:da,PLDTHOMEDSL,WPA2/WPA,-67,11,Baudtec,Broadband,14.646305,121.060837,18,32,21.3500195414,11,1,"04/02/2018, "
2018-04-05 14:09:27,2017-07-29 21:00:00,5c:6a:80:1a:25:c6,SNOW CREME,WPA2/WPA,-53,13,ZyxelCom,Unidentified,14.645917,121.060572,18,32,21.3500195414,11,57,"04/05/2018, 04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, 03/14/2018, "
2018-04-05 14:31:47,2017-07-15 09:00:00,00:24:01:b8:d1:9d,FRANCISCO-PC_Network,WPA2,-74,6,D-Link,Unidentified,14.646045,121.061088,19,7,21.4577074215,1,4,"04/02/2018, 04/05/2018, "
2018-04-10 17:57:56,2017-07-29 21:00:00,e0:8e:3c:2a:07:e0,Aztech5068_A07E0,WPA,-87,1,AztechEl,Unidentified,14.64585,121.058478,22,6,29.6176867029,3,1,"04/10/2018, "
