Common,188
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
dc:09:4c:14:29:cf,Monmon,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,8,-85,-89
fa:8f:ca:50:af:9a,,[ESS],OPN,11,11,-77,-75
cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-86,-75
5c:6a:80:1a:25:c6,Snow Creme,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-72,-74
00:13:33:dc:91:af,PLDTHOMEDSLDAL1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-73,-85
98:e7:f5:94:4a:ca,HUAWEI-E5330-4ACA,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-69,-86
cc:06:77:e1:1f:90,PLDTHOMEFIBR11f90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-81,-85
ba:4e:26:4c:0e:e3,,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-88,-87
f0:98:38:72:db:98,ZGMKTGCORP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-88,-87
b0:4e:26:4c:0e:e3,TFMGT Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-85,-88
28:10:7b:f1:02:bc,Diliman Bible Church,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-79,-85
00:e0:20:3b:00:75,Extension 3,[WPA-PSK-CCMP][WPS][ESS],WPA,6,6,-86,-83
18:a6:f7:8e:ef:ac,PSCSEND-Conference,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-72,-82
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-77,-80
5c:f2:86:25:75:0b,lester8182,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-88,-88
0e:41:58:00:9f:ef,Wireless-N ext 1,[WPA-PSK-CCMP][ESS],WPA,6,6,-89,-90
aa:a6:68:58:d8:01,Smart Bro_58D801,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,13,13,-89,-86
cc:06:77:63:37:90,Estivlings,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,4,4,-82,-79
e8:cd:2d:7f:11:4d,glyph,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-77,-83
90:61:0c:2e:02:f3,PLDTHOMEDSL00755,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-84,-79
90:61:0c:2e:02:f4,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-85,-81
00:13:33:f4:2a:f7,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-76,-66
00:13:33:f4:2a:f6,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-77,-68
94:46:96:1e:9b:87,PLDTHOMEDSLW3WH0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-74,-77
00:13:33:ed:62:7d,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-86,-78
00:e0:20:60:71:69,Estivlings_Ext1,[WPA2-PSK-CCMP][WPS][ESS],WPA2,4,4,-86,-84
00:13:33:fa:e4:77,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-83,-81
1c:74:0d:1a:d8:a0,LITOS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,9,9,-71,-77
e0:8e:3c:2f:67:01,bayanDSLWIFI_6701,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-81,-70
00:13:33:e7:6c:14,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,8,-87,-92
40:cb:a8:90:46:e2,Broadband@work,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-77,-85
00:13:33:e1:98:5f,PLDTHOMEDSLsanji,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-83,-75
88:d2:74:86:b6:5a,BirthdayMoBa?,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,5,5,-70,-64
60:31:97:33:82:60,Saturn_Boss,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-82,-86
e0:8e:3c:1a:f6:63,bayanDSLWIFI_F663,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-74,-77
00:13:33:fc:69:69,PLDTHOMEDSLGRABTAPSI,[WPA2-PSK-CCMP][ESS],WPA2,11,11,-73,-66
84:db:ac:1e:f2:12,xaira,[WPA2-PSK-CCMP][ESS],WPA2,3,3,-74,-80
e8:94:f6:e1:ba:30,Extension,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-85,-86
00:27:15:58:36:e1,B8NT-4p2k8J+YjUJoZTA48J+YjeKdpA,[ESS],OPN,6,6,-67,-79
1a:17:23:00:04:77,EVOHOTSPOT 7,[ESS],OPN,6,6,-67,-60
94:46:96:0e:28:69,PLDTHOMEDSLanamaria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-76,-73
94:fe:22:b1:b6:14,WEST PHILIPPINE SEA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,10,10,-78,-88
00:13:33:fd:b7:fb,PLDTHOMEDSLLUCERO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-89,-81
28:ff:3e:3d:e8:19,bayanDSLWIFI_E819,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-69,-85
94:46:96:1f:01:3f,EVOLUTION-5--,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,10,10,-74,-63
00:13:33:f2:83:f7,PLDTHOMEDSLPrivate,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-85,-85
2a:17:23:00:04:77,EVOHOTSPOT 8,[ESS],OPN,6,6,-64,-63
18:a6:f7:45:7f:13,Morning Joggers,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-81,-80
94:46:96:19:6c:10,PLDTHOMEDSL_CRES,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-74,-80
0a:17:23:00:04:77,EVOHOTSPOT 6,[ESS],OPN,6,6,-64,-65
14:60:80:99:51:7c,mendoza,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,13,13,-78,-92
e0:8e:3c:1b:3e:83,amihan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-74,-72
08:17:23:00:04:77,EVOHOTSPOT 5,[ESS],OPN,6,6,-54,-61
08:17:23:00:04:8f,EVOHOTSPOT 1,[ESS],OPN,1,1,-56,-56
2a:17:23:00:04:8f,EVOHOTSPOT 4,[ESS],OPN,1,1,-56,-56
1a:17:23:00:04:8f,EVOHOTSPOT 3,[ESS],OPN,1,1,-56,-60
0a:17:23:00:04:8f,EVOHOTSPOT 2,[ESS],OPN,1,1,-58,-59
fc:8b:97:38:ea:bb,PLDTMyDSL,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-76,-86
fc:8b:97:38:ea:bf,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,-88
5c:6a:80:25:f4:98,PLDTMYDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-73,-75
94:0e:6b:65:d6:aa,B310_5D6AA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-83
e0:8e:3c:1a:ca:2f,bayanDSLWIFI_CA2F,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-85,-86
e0:8e:3c:20:10:0b,bayanDSLWIFI_100B,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-87
6c:3b:6b:4c:3f:d9,pgp personal,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-72,-79
90:61:0c:19:b5:a9,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-68,-69
