GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-10 17:20:44,2018-04-03 15:35:40.226296,c8:93:46:48:70:90,Think_487090,WPA2,-92,11,Mxchip,none,14.647572,121.057263
2018-04-10 17:20:44,2018-04-03 15:35:40.370908,18:a6:f7:76:35:da,TP,WPA2/WPA,-83,10,Tp-LinkT,none,14.647572,121.057263
2018-04-10 17:20:44,2018-04-03 15:35:40.830693,78:c1:a7:23:48:66,4C Block U,WPA,-89,11,Zte,none,14.647572,121.057263
2018-04-10 17:20:46,2018-04-03 15:35:43.161717,36:69:87:9e:1a:02,Smart Bro_9E1A02,WPA2/WPA,-72,13,None,none,14.647680,121.057223
2018-04-10 17:20:47,2018-04-03 15:35:43.869018,4c:f9:5d:85:9a:fc,RIBCITY,WPA2/WPA,-77,1,HuaweiTe,none,14.647733,121.057203
2018-04-10 17:20:47,2018-04-03 15:35:43.980177,40:b0:34:b4:fd:98,DIRECT-97-HP marcabans printer,WPA2,-90,1,HewlettP,none,14.647733,121.057203
2018-04-10 17:20:51,2018-04-03 15:35:47.816600,00:13:33:f4:27:ef,PLDTHOMEDSLBILL,WPA2/WPA,-66,2,Baudtec,none,14.647958,121.057132
2018-04-10 17:20:51,2018-04-03 15:35:47.786232,c8:93:46:48:4c:ae,Think_484CAE,WPA2,-91,2,Mxchip,none,14.647958,121.057132
2018-04-10 17:20:52,2018-04-03 15:35:48.642754,00:26:75:e4:f0:50,YujInn 3rd floor,WPA2,-76,3,AztechEl,none,14.648018,121.057115
2018-04-10 17:20:54,2018-04-03 15:35:50.425604,cc:06:77:60:2f:88,PLDTHOMEFIBR02f88,WPA2/WPA,-83,5,Fiberhom,none,14.648140,121.057080
2018-04-10 17:20:55,2018-04-03 15:35:51.988380,1c:b7:2c:79:f8:88,AWESOME.RIBS,WPA2,-81,6,AsustekC,none,14.648202,121.057062
2018-04-10 17:20:55,2018-04-03 15:35:51.172599,fc:b4:e6:82:43:85,SKYbroadbandABA4,WPA2/WPA,-78,6,AskeyCom,none,14.648202,121.057062
2018-04-10 17:20:58,2018-04-03 15:35:54.681785,ac:f9:70:ec:e8:28,Kimochi Aroma,WPA,-74,7,HuaweiTe,none,14.648373,121.057020
2018-04-10 17:20:57,2018-04-03 15:35:53.968768,48:f8:b3:a9:6d:bc,HFSPrivate,WPA2/WPA,-75,8,Cisco-Li,none,14.648313,121.057027
2018-04-10 17:20:58,2018-04-03 15:35:54.161727,bc:c0:0f:bf:79:80,PLDTHOMEFIBRf7980,WPA2/WPA,-77,8,Fiberhom,none,14.648373,121.057020
2018-04-10 17:20:59,2018-04-03 15:35:55.515640,88:3f:d3:06:77:64,HUAWEI-68pF,WPA2/WPA,-77,9,HuaweiTe,none,14.648435,121.057017
2018-04-10 17:23:51,2018-04-03 15:38:48.075907,88:3f:d3:06:29:6c,DESKARTE,WPA2/WPA,-77,9,HuaweiTe,none,14.649055,121.056932
2018-04-10 17:23:35,2018-04-03 15:38:31.729862,7c:8b:ca:28:13:74,PLDTHOMEFIBRf1e38_EXT,WPA2/WPA,-81,9,Tp-LinkT,none,14.648795,121.057340
2018-04-10 17:21:00,2018-04-03 15:35:57.006441,88:3f:d3:2d:db:70,GPF-Globe,WPA2/WPA,-84,10,HuaweiTe,none,14.648492,121.057005
2018-04-10 17:21:00,2018-04-03 15:35:57.069889,50:09:59:84:f1:91,SKYbroadbandF18E,WPA2/WPA,-84,11,Technico,none,14.648492,121.057005
2018-04-10 17:21:01,2018-04-03 15:35:57.255881,b0:6e:bf:a9:ed:bc,GPF-Globe_RPT,WPA2,-86,10,AsustekC,none,14.648542,121.056993
2018-04-10 17:21:01,2018-04-03 15:35:58.052771,b0:b2:dc:aa:c8:8c,PLDTMyDSLvirus,WPA2/WPA,-82,11,ZyxelCom,none,14.648542,121.056993
2018-04-10 17:21:02,2018-04-03 15:35:58.420406,e0:8e:3c:21:e8:eb,HOLYFAMILY,WPA2/WPA,-81,11,AztechEl,none,14.648590,121.056985
2018-04-10 17:21:02,2018-04-03 15:35:58.439000,94:10:3e:99:98:00,HFS_ADMIN,WPA2/WPA,-85,11,BelkinIn,none,14.648590,121.056985
2018-04-10 17:21:02,2018-04-03 15:35:58.458302,88:d2:74:86:d2:40,bayanDSLWIFI_D240,WPA2/WPA,-90,11,Zte,none,14.648590,121.056985
2018-04-10 17:23:43,2018-04-03 15:38:39.502776,9c:a3:a9:09:07:f9,IPCF3680910265870,OPN,-59,1,Guangzho,none,14.648768,121.057070
2018-04-10 17:21:06,2018-04-03 15:36:03.277928,18:de:d7:34:79:6c,HUAWEI-kc87,WPA2/WPA,-74,1,HuaweiTe,none,14.648730,121.057067
2018-04-10 17:23:22,2018-04-03 15:38:18.898781,94:46:96:1e:9c:e0,PLDTHOMEDSLGNGS0,WPA2/WPA,-68,1,Baudtec,none,14.648875,121.057880
2018-04-10 17:23:43,2018-04-03 15:38:40.037960,fe:ec:da:07:11:f8,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-75,1,None,none,14.648768,121.057070
2018-04-10 17:21:06,2018-04-03 15:36:02.395256,48:00:33:f3:09:3d,SKYbroadband093A,WPA2/WPA,-85,1,Technico,none,14.648730,121.057067
2018-04-10 17:23:44,2018-04-03 15:38:40.199438,90:61:0c:40:ae:fb,Tooth Ninja,WPA2/WPA,-74,1,FidaInte,none,14.648770,121.057047
2018-04-10 17:21:30,2018-04-03 15:36:25.855857,ac:f9:70:ec:23:98,judith m ferrer,WPA2/WPA,-66,4,HuaweiTe,none,14.648905,121.057577
2018-04-10 17:23:48,2018-04-03 15:38:44.338567,00:1f:fb:ac:7e:9d,HomeBro_ULTERA,WPA2,-84,6,GreenPac,none,14.648902,121.056968
2018-04-10 17:21:33,2018-04-03 15:36:29.027419,f8:d1:11:2e:f5:ea,UNITY_CORE,WPA2,-56,6,Tp-LinkT,none,14.648925,121.057712
2018-04-10 17:21:34,2018-04-03 15:36:30.181067,64:70:02:92:b9:94,UNITY_SUBORDINATE,WPA2,-62,6,Tp-LinkT,none,14.648928,121.057747
2018-04-10 17:23:30,2018-04-03 15:38:27.105080,f8:01:13:c8:e5:b1,restricted,WPA2/WPA,-71,6,HuaweiTe,none,14.648837,121.057630
2018-04-10 17:29:32,2018-04-03 15:44:28.813415,c0:21:0d:3a:e7:f2,Mitsubishi Wireless TV 402,OPN,-56,36,Shenzhen,none,14.646253,121.052630
2018-04-10 17:21:15,2018-04-03 15:36:11.502654,94:46:96:14:b7:58,PLDTHOMEDSLMZMZ0,WPA2/WPA,-70,7,Baudtec,none,14.648830,121.057358
2018-04-10 17:23:45,2018-04-03 15:38:41.954328,50:09:59:83:82:81,"(Alporha and Rodriguez, 2016)",WPA2/WPA,-76,6,Technico,none,14.648788,121.057023
2018-04-10 17:21:14,2018-04-03 15:36:10.389592,00:22:6b:69:c5:5c,GPF,WPA,-92,6,Cisco-Li,none,14.648823,121.057317
2018-04-10 17:23:15,2018-04-03 15:38:11.649551,96:3b:ad:10:32:05,xNonex,WPA2,-81,10,None,none,14.648893,121.057935
2018-04-10 17:23:33,2018-04-03 15:38:29.498935,cc:06:77:5f:1e:38,PLDTHOMEFIBRf1e38,WPA2/WPA,-81,9,Fiberhom,none,14.648812,121.057453
2018-04-10 17:21:37,2018-04-03 15:36:33.672996,92:3b:ad:10:32:05,ORBI86,WPA2,-81,10,None,none,14.648938,121.057828
2018-04-10 17:21:19,2018-04-03 15:36:15.371136,96:3b:ad:10:10:6d,xNonex,WPA2,-80,10,None,none,14.648837,121.057402
2018-04-10 17:21:19,2018-04-03 15:36:15.310452,92:3b:ad:10:10:6d,ORBI86,WPA2,-80,10,None,none,14.648837,121.057402
2018-04-10 17:21:37,2018-04-03 15:36:33.629945,90:61:0c:3e:b9:2d,PLDTHOMEDSL47405,WPA2/WPA,-56,11,FidaInte,none,14.648938,121.057828
2018-04-10 17:23:19,2018-04-03 15:38:15.801645,90:61:0c:16:c9:a0,PLDTMyDSL-TRSTN,WPA2/WPA,-61,11,FidaInte,none,14.648882,121.057905
2018-04-10 17:21:41,2018-04-03 15:36:37.908966,00:13:33:dc:91:96,PLDTHOMEDSL,WPA2/WPA,-67,11,Baudtec,none,14.648977,121.057978
2018-04-10 17:21:20,2018-04-03 15:36:16.984372,00:13:33:e7:6b:f1,PLDTHOMEDSL,WPA2/WPA,-92,11,Baudtec,none,14.648837,121.057398
2018-04-10 17:21:24,2018-04-03 15:36:20.747086,cc:06:77:5d:f6:40,PLDTHOMEFIBRdf640,WPA2/WPA,-86,1,Fiberhom,none,14.648835,121.057390
2018-04-10 17:23:23,2018-04-03 15:38:19.846783,ec:08:6b:6b:81:ae,bobocpindongan,WPA2/WPA,-84,1,Tp-LinkT,none,14.648870,121.057865
2018-04-10 17:21:27,2018-04-03 15:36:23.080969,e0:8e:3c:20:fa:4b,Nobody,WPA,-66,1,AztechEl,none,14.648863,121.057453
2018-04-10 17:21:27,2018-04-03 15:36:23.238439,0e:41:58:00:f5:9e,GA,WPA,-80,1,None,none,14.648863,121.057453
2018-04-10 17:21:26,2018-04-03 15:36:22.714764,00:13:33:fc:66:80,PLDTHOMEDSLACSUP,WPA2/WPA,-85,1,Baudtec,none,14.648850,121.057422
2018-04-10 17:21:25,2018-04-03 15:36:21.778375,cc:06:77:21:78:e8,PLDTHOMEFIBR178e8,WPA2/WPA,-85,1,Fiberhom,none,14.648837,121.057393
