First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-04-24 22:06:21,f0:98:38:72:db:98,ZGMKTGCORP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-83,1,14.64533917,121.06095471
2018-04-24 22:06:21,9c:6f:52:35:15:e9,bayanDSLWIFI_15E9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-84,1,14.64533917,121.06095471
2018-04-24 23:38:21,c0:56:27:90:c5:57,PDLAW,[WPA2-PSK-CCMP][WPS][ESS],-81,10,14.64610041,121.06018488
2018-04-24 22:06:24,00:13:33:ed:60:48,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-68,6,14.64531211,121.06095705
2018-04-24 22:07:01,90:61:0c:41:1e:37,PLDTHOMEDSL07735,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-62,11,14.64501293,121.06096441
2018-04-24 22:07:09,88:d2:74:86:d2:0f,abegnot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-66,1,14.64496455,121.06097702
2018-04-24 22:06:24,cc:06:77:60:52:70,PLDTHOMEFIBR05270,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-86,10,14.64531211,121.06095705
2018-04-24 23:38:27,c0:56:27:a9:cf:1d,QuickleanMaginhawa1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],-57,13,14.64608143,121.06022946
2018-04-24 22:06:24,00:26:b4:db:4f:33,SYNC_YV1U00F1,[WPA2-PSK-CCMP+TKIP][ESS],-89,1,14.64531211,121.06095705
2018-04-24 22:06:45,34:ba:9a:56:18:5b,Rai,[WPA2-PSK-CCMP][WPS][ESS],-64,6,14.64513826,121.06097403
2018-04-24 22:06:49,e0:8e:3c:26:15:1c,FINNLEY,[WPA-PSK-CCMP+TKIP][ESS],-71,1,14.64510983,121.06097526
2018-04-24 22:07:21,14:b7:f8:63:12:6a,REDONDOBEACH,[WPA2-PSK-CCMP][PMF-OPT][ESS],-75,1,14.64485465,121.06096705
2018-04-24 23:38:25,48:fd:8e:b8:e5:bc,HUAWEI-3Cg2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-87,1,14.64608915,121.06021531
2018-04-24 22:06:49,98:de:d0:cc:d4:72,K5MPCTV,[WPA2-PSK-CCMP][WPS][ESS],-78,2,14.64510983,121.06097526
2018-04-24 22:07:25,14:b7:f8:62:66:cc,PREMIERADENTISTA OFFICE,[WPA2-PSK-CCMP][PMF-OPT][ESS],-69,1,14.64482596,121.06097334
2018-04-24 22:06:45,8c:79:67:b6:4a:82,GLOBE_B64A82,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-68,3,14.64513826,121.06097403
2018-04-24 23:38:25,ac:86:74:4a:09:52,CloudTrax,[ESS],-60,5,14.64608915,121.06021531
2018-04-24 22:06:41,00:0c:43:30:50:78,TELPAD HC7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-65,1,14.64517872,121.06098988
2018-04-24 23:32:01,00:13:33:dc:c2:92,PLDTHOMEDSLLVMANN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-81,11,14.64514898,121.06025535
2018-04-24 23:38:27,ac:86:74:4a:09:53,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-59,5,14.64608143,121.06022946
2018-04-24 22:06:41,00:13:33:ea:82:37,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-70,11,14.64517872,121.06098988
2018-04-24 22:06:41,6c:27:79:b5:5b:9a,Hi po,[WPA2-PSK-CCMP][WPS][ESS],-80,11,14.64517872,121.06098988
2018-04-24 22:07:01,e0:8e:3c:1f:f5:73,Cura,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-72,10,14.64501293,121.06096441
2018-04-24 22:07:05,94:46:96:1d:8a:0d,PLDTHOMEDSLTPTE0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-78,11,14.64499343,121.06097928
2018-04-24 22:08:52,6c:3b:6b:ad:9e:9d,MikroTik-Dynadish-A,[WPA-EAP+PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-76,56,14.64405824,121.06105662
2018-04-24 22:07:13,08:63:61:eb:a1:a3,SMART-BRO-A1A3,[WPA2-PSK-CCMP][WPS][ESS],-76,2,14.64494063,121.06096866
2018-04-24 22:06:45,c8:3a:35:3b:3b:38,Gallifrey,[WPA-PSK-CCMP][ESS],-85,11,14.64513826,121.06097403
2018-04-24 22:06:45,c4:12:f5:c8:32:d2,D-Link_DIR-600M,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-82,1,14.64513826,121.06097403
2018-04-24 23:36:46,ba:4e:26:4c:12:53,,[WPA2-PSK-CCMP][ESS],-73,10,14.64628915,121.05950655
2018-04-24 22:07:09,d0:03:4b:d7:9c:e8,Joseph Carmelo's Wi-Fi Network,[WPA2-PSK-CCMP][ESS],-70,11,14.64496455,121.06097702
2018-04-24 22:06:57,cc:06:77:60:52:74,PLDTHOMEFIBR5G05270,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-85,44,14.64503682,121.0609603
2018-04-24 23:31:07,b8:3a:08:5b:21:b5,Bundits_5G,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-52,149,14.64462422,121.06028763
2018-04-24 23:31:27,b8:3a:08:5b:21:b1,Bundits,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-44,1,14.64483659,121.0602722
2018-04-24 22:49:01,51502_30232_210478053,Globe,HSPA;ph,-79,0,14.64381832,121.05979885
2018-04-24 22:07:55,5c:6a:80:a3:32:24,PLDTMyDSLBiz5G47610,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-68,58,14.64455123,121.06099066
2018-04-24 22:07:55,5c:6a:80:a3:32:23,UNOMORATO_MAGINHAWA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-63,9,14.64455123,121.06099066
