Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
92:2a:a8:41:e9:d6,5,"04/02/2018, 04/03/2018, 04/05/2018,"
1a:74:2e:bc:c2:22,5,"04/02/2018, 04/03/2018, 04/05/2018,"
82:2a:a8:41:e9:d6,4,"04/02/2018, 04/03/2018,"
90:61:0c:40:de:0c,4,"04/02/2018, 04/03/2018,"
8c:eb:c6:ce:20:18,3,"04/02/2018, 04/03/2018, 04/05/2018,"
28:92:4a:14:9f:84,7,"04/02/2018, 04/03/2018, 04/05/2018,"
7a:8a:20:67:75:b7,3,"04/02/2018, 04/03/2018, 04/05/2018,"
00:1f:fb:ba:d2:8b,1,"04/02/2018,"
78:c1:a7:03:9e:ec,11,"04/02/2018, 04/03/2018, 04/05/2018,"
f4:f2:6d:94:56:14,9,"04/02/2018, 04/03/2018, 04/05/2018,"
90:61:0c:39:f2:a4,3,"04/02/2018, 04/05/2018,"
90:61:0c:3a:4b:6e,5,"04/02/2018, 04/03/2018, 04/05/2018,"
90:61:0c:33:a6:ea,1,"04/02/2018,"
ec:8c:a2:30:ff:28,4,"04/02/2018, 04/03/2018, 04/05/2018,"
00:13:33:f4:27:ef,2,"04/02/2018, 04/03/2018,"
c8:93:46:48:56:58,4,"04/02/2018, 04/03/2018, 04/05/2018,"
1e:74:0d:02:42:c0,6,"04/02/2018, 04/03/2018, 04/05/2018,"
5c:f2:86:24:56:fe,1,"04/02/2018,"
c8:93:46:cc:21:da,1,"04/02/2018,"
cc:06:77:5c:bd:58,5,"04/02/2018, 04/05/2018,"
34:ba:9a:54:f9:31,1,"04/02/2018,"
74:cc:39:86:00:88,1,"04/02/2018,"
da:5d:e2:d2:ca:db,1,"04/03/2018,"
06:d6:aa:57:4f:45,1,"04/03/2018,"
00:13:33:e1:c7:e9,1,"04/03/2018,"
60:31:97:dc:e7:f0,7,"04/03/2018, 04/05/2018,"
b4:2a:0e:29:fe:25,2,"04/03/2018, 04/05/2018,"
d4:6e:5c:95:f0:22,1,"04/03/2018,"
a4:2b:b0:d9:10:26,2,"04/03/2018,"
7a:31:c1:65:66:50,1,"04/03/2018,"
7a:8a:20:67:74:c0,2,"04/03/2018,"
76:e4:3a:7a:e4:01,1,"04/03/2018,"
d2:5b:a8:f4:f0:2c,2,"04/03/2018,"
28:92:4a:14:56:1c,1,"04/03/2018,"
38:a2:8c:92:4f:98,1,"04/03/2018,"
c8:93:46:48:50:5b,8,"04/03/2018, 04/05/2018,"
a0:cb:fd:c8:5d:e0,1,"04/03/2018,"
e0:8e:3c:19:b0:ab,2,"04/05/2018,"
7a:8a:20:67:79:44,1,"04/05/2018,"
88:3f:d3:06:3b:a0,2,"04/05/2018,"
00:1a:ef:48:8a:d3,1,"04/05/2018,"
c8:93:46:48:60:c6,5,"04/05/2018,"
36:69:87:e8:47:ae,3,"04/05/2018,"
bc:c0:0f:7b:d7:c0,4,"04/05/2018,"
ee:1d:7f:a1:35:10,2,"04/05/2018,"
a0:8c:fd:0d:68:44,3,"04/05/2018,"
00:13:33:d3:4b:09,1,"04/05/2018,"
f2:9f:c2:91:17:d9,2,"04/05/2018,"
b0:4e:26:c9:77:1f,1,"04/05/2018,"
cc:06:77:6f:30:40,1,"04/05/2018,"
e0:8e:3c:2d:fa:d5,1,"04/05/2018,"
50:04:b8:45:1d:5c,1,"04/05/2018,"
00:13:33:ea:7b:21,2,"04/05/2018,"
94:46:96:17:00:3d,1,"04/05/2018,"
88:d2:74:a9:b1:c0,1,"04/05/2018,"
00:13:33:ea:7b:20,1,"04/05/2018,"
c0:21:0d:b3:51:50,1,"04/05/2018,"
b0:45:19:d9:b8:0c,1,"04/05/2018,"
dc:09:4c:9a:74:29,1,"04/05/2018,"
""
Box no.,Total APs
2,17
MAC,Persistence,Dates Seen
a4:2b:b0:d9:10:26,1,"04/02/2018,"
80:2a:a8:41:e9:d6,1,"04/02/2018,"
90:61:0c:2d:d3:09,1,"04/02/2018,"
00:13:33:db:90:5c,1,"04/02/2018,"
92:2a:a8:41:e9:d6,1,"04/02/2018,"
50:9f:27:0c:3f:19,1,"04/02/2018,"
fe:a6:67:54:8e:71,1,"04/02/2018,"
f4:28:53:a0:17:18,1,"04/02/2018,"
00:13:33:e1:c7:ec,1,"04/02/2018,"
88:d2:74:86:cf:41,1,"04/02/2018,"
00:24:a5:d7:87:d3,1,"04/02/2018,"
90:61:0c:2d:88:5b,1,"04/02/2018,"
3a:f7:3d:af:9d:04,1,"04/02/2018,"
1a:74:2e:bc:c2:22,1,"04/02/2018,"
cc:06:77:e1:80:f8,1,"04/02/2018,"
84:1b:5e:76:29:70,1,"04/02/2018,"
28:92:4a:14:9f:84,1,"04/02/2018,"
""
Box no.,Total APs
3,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
4,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
5,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
6,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
7,5
MAC,Persistence,Dates Seen
5c:f2:86:24:21:32,1,"04/02/2018,"
e8:cd:2d:7f:11:4d,1,"04/02/2018,"
34:ba:9a:55:b6:dd,1,"04/02/2018,"
e0:8e:3c:1f:e9:c3,1,"04/02/2018,"
18:a6:f7:8e:ef:ac,1,"04/02/2018,"
""
Box no.,Total APs
8,24
MAC,Persistence,Dates Seen
18:a6:f7:8e:ef:ac,1,"04/02/2018,"
